eval_demoted,original_split,train_promoted,CLC_codes
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_1412_1077,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_7981_7288,"311, 231, 243"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_6829_5051,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_1486_2531,"311, 231, 243"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_8296_8410,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_550_8314,"311, 231, 243"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_9496_8067,test,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_4901_5461,"211, 112"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_5931_2379,val,S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_1998_9561,"211, 112"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_10036_6336,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2839_1395,"211, 112"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_1140_8744,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_1674_6351,"311, 321"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_3210_9989,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_9709_5734,"311, 321"
S2B_MSIL2A_20181006T092029_N0500_R093_T34UGU_1306_9903,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_8196_8297,"311, 321"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_729_9186,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_6675_1022,"311, 321"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_9099_7912,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_8263_5551,"311, 321"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_7544_9122,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8443_4214,"311, 321"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_7031_7417,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_2955_8062,"211, 311"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6494_9001,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_4549_7767,"211, 311"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_5440_7078,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_6582_5364,"211, 311"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2917_7264,test,S2A_MSIL2A_20180809T090551_N0500_R050_T35TNM_2842_9812,"211, 231, 112"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_2879_4789,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_1183_9238,"211, 231, 112"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_2079_2673,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_3884_1253,"211, 231, 112"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2873_1759,val,S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_8401_6649,"211, 231, 112"
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_9406_9766,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5898_1841,"211, 231, 112"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TET_7375_6611,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6346_7877,"211, 231, 112"
S2B_MSIL2A_20181006T092029_N0500_R093_T34UGU_3088_9543,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8598_2159,"311, 231"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_3958_3896,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_3386_1827,"311, 231"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_7888_9720,val,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLM_8405_9607,"311, 231"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_5942_8587,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_3810_2445,"311, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8764_2528,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_8387_996,"311, 231"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_3265_7579,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_8682_8269,311
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_4314_8956,val,S2A_MSIL2A_20180809T090551_N0500_R050_T35TNN_2530_8562,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_10059_5846,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_9791_792,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5337_7944,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_9418_8327,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8387_3608,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_6935_1913,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8745_3784,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_8110_2483,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8962_8343,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_7763_641,311
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8404_4325,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_1925_5473,311
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_9115_4304,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3482_3218,311
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_8687_3685,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_1587_1937,311
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_9277_5344,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_6593_2649,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_10548_3869,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_9052_1221,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_5236_3465,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_3898_2249,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8206_4675,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_4133_6573,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8781_6291,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_7593_3444,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9043_3889,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_6469_10114,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9048_5128,test,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLL_9246_10751,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9494_5463,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_2329_4037,311
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9988_3090,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TMM_9856_8249,311
S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_8128_2121,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TMM_9307_9569,311
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9663_4016,val,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8186_1310,"211, 231"
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9664_5197,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8452_3372,"211, 231"
S2A_MSIL2A_20180809T090551_N0500_R050_T35TNN_1070_1745,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_3259_8453,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_10359_3787,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1024_6138,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6979_1297,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_3123_8523,"211, 231"
S2A_MSIL2A_20180809T090551_N0500_R050_T35TNM_8467_5017,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_5289_9212,"211, 231"
S2A_MSIL2A_20180809T090551_N0500_R050_T35TNM_8935_5470,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_7274_3147,"211, 231"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_7620_5249,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34UFU_6281_8520,"211, 231"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2515_5343,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5599_4006,"211, 231"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2841_5720,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_5617_1254,"211, 231"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_997_6857,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7565_7096,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_3045_5537,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4705_1769,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4345_1023,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5260_7086,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4472_7927,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_7963_8843,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_9928_8338,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_4269_10533,"211, 231"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_2139_4979,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2469_7956,"211, 231"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_2191_6519,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_7099_4368,"211, 231"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_3215_6512,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5758_5109,"211, 231"
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_7355_7824,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9709_7492,"211, 231"
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_8536_8983,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4148_4386,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8943_3752,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5912_2257,"211, 231"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9116_8694,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3090_2518,"211, 231"
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_6911_617,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5868_4507,211
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8785_2407,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNJ_1935_1024,211
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9462_931,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5026_3359,211
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9627_2462,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2805_6663,211
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_6292_9755,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_217_7962,211
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_8839_8939,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4380_2954,211
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_9631_8926,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8028_9176,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_6415_7673,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8888_6332,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_6800_8211,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_1632_1182,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_7593_8215,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_3409_7750,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_10071_5065,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8985_7645,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_5730_3359,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_1750_2988,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6739_6885,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9621_4196,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7219_6021,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8596_3164,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7475_4517,test,S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_9672_3361,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7669_7697,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_4221_8901,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8392_9822,val,S2B_MSIL2A_20181010T090019_N0500_R007_T35TPJ_256_3735,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8419_2980,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_4398_5001,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_10587_8830,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_968_7983,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_3857_9420,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2449_1361,211
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_8864_7273,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_512_3181,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_10108_3303,test,S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_1559_9625,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_2106_3495,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4051_4527,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_2941_3633,val,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9334_5962,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1239_5366,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_1069_4442,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4395_4872,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_2024_6910,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1370_6153,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1058_9602,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1376_7989,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_2301_9579,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4741_2747,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TET_5889_9027,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5566_3199,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_6898_267,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5842_4917,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1386_994,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2052_6133,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7963_2158,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_6884_5333,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_568_3199,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_8438_4861,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5702_5498,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3258_7614,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_243_6548,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3260_663,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_4878_10326,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_8910_5361,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2797_9482,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_9254_4880,test,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_3402_10051,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_9329_5351,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5987_7986,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3854_4124,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7716_1277,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4243_1675,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5805_10611,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_515_5365,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9464_8702,211
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_982_7616,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7413_8939,211
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_6158_2813,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5267_4048,211
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_7013_1182,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5420_998,211
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_8290_2781,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_9667_5928,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_2987_1387,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6213_5926,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4514_3578,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7012_3809,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6736_7863,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5558_2094,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8435_9160,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3355_7025,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8804_3599,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6079_3108,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_9569_7510,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_8691_8468,211
S2B_MSIL2A_20181010T090019_N0500_R007_T35TPJ_660_3354,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_903_5360,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_2145_2956,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_3296_5353,211
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_8280_1052,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8855_6659,211
