eval_patch,eval_split,action,partner_patch,CLC_codes,distance_m,reason
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_8910_5361,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2797_9482,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_9254_4880,test,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_3402_10051,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_9329_5351,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5987_7986,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_2145_2956,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_3296_5353,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_10359_3787,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1024_6138,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_1235_4893,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_7594_10584,"211, 231, 112, 512",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_5730_3359,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_1750_2988,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6739_6885,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9621_4196,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7475_4517,test,resolved (swap),S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_9672_3361,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7669_7697,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_4221_8901,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8419_2980,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_4398_5001,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_9496_8067,test,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_4901_5461,"211, 112",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_4843_1772,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_8157_9292,"312, 313, 324",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_5706_1781,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_5267_972,"313, 312, 324",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8404_4325,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_1925_5473,311,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_9115_4304,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3482_3218,311,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_9928_8338,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_4269_10533,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1938_8250,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1250_3119,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3088_5395,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1539_9185,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3259_7841,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_808_7460,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3671_9562,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_4058_2982,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4217_1794,test,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_7935_674,"231, 211",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5341_7843,test,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_8253_8708,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5536_10521,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8248_4219,"311, 211, 511",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_6332_6661,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2919_5348,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_6729_6648,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34UFU_5859_8506,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8943_3752,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5912_2257,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9116_8694,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3090_2518,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_2987_1387,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6213_5926,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8804_3599,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6079_3108,211,,
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_6158_2813,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5267_4048,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1370_6153,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1058_9602,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1376_7989,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_2301_9579,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2515_5343,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5599_4006,"211, 231",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_2917_7264,test,resolved (swap),S2A_MSIL2A_20180809T090551_N0500_R050_T35TNM_2842_9812,"211, 231, 112",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3058_3244,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7629_5326,"311, 211",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3854_4124,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7716_1277,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4243_1675,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5805_10611,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_515_5365,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9464_8702,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6398_2810,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7602_2822,"411, 512",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7560_4010,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_10198_4104,523,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_982_7616,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7413_8939,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_7031_7417,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_2955_8062,"211, 311",,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_7593_8215,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_3409_7750,211,,
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_9955_9917,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6761_2825,"411, 512",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_10191_2685,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_7933_10012,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_1921_1775,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7135_8904,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_2560_2949,test,resolved (swap),S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_7996_10513,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_4530_999,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4662_4185,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7764_4440,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2822_586,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8252_1918,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_629_2147,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8366_3018,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7902_9348,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_8489_4285,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9725_6221,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_10587_8830,test,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_968_7983,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_7620_5249,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34UFU_6281_8520,"211, 231",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_8864_7273,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_512_3181,211,,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_7557_4063,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_8106_4906,"312, 313, 322",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_983_4459,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_6986_3421,"312, 324",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_5760_9678,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_7911_9947,"311, 231, 324",,
S2B_MSIL2A_20181006T092029_N0500_R093_T34UGU_1306_9903,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_8196_8297,"311, 321",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_7355_7824,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_9709_7492,"211, 231",,
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_8536_8983,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4148_4386,"211, 231",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_2191_6519,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_7099_4368,"211, 231",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_8120_1072,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8904_1428,"311, 324, 231",,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_8687_3685,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_1587_1937,311,,
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_2079_2673,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_3884_1253,"211, 231, 112",,
S2A_MSIL2A_20180809T090551_N0500_R050_T35TNM_8467_5017,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_5289_9212,"211, 231",,
S2A_MSIL2A_20180809T090551_N0500_R050_T35TNM_8935_5470,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_7274_3147,"211, 231",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7121_3507,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_9206_1607,"311, 324",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7275_10139,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_4407_4175,211,,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_5931_2379,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_1998_9561,"211, 112",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_5942_8587,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_3810_2445,"311, 231",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_8155_1916,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_8969_5217,"211, 231, 112, 242, 311",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_5236_3465,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_3898_2249,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_7973_1018,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLL_8015_1686,"311, 324",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8206_4675,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_4133_6573,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8781_6291,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_7593_3444,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9494_5463,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_2329_4037,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9988_3090,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TMM_9856_8249,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2739_7100,val,resolved (swap),S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8871_5186,211,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4372_8317,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1823_6320,211,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8387_3608,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_6935_1913,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8745_3784,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_8110_2483,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8962_8343,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_7763_641,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_748_2473,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_5381_1216,"311, 231, 242",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_7544_9122,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8443_4214,"311, 321",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_1140_8744,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_1674_6351,"311, 321",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_1412_1077,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_7981_7288,"311, 231, 243",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_5196_4661,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1574_3678,"321, 312, 324",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_729_9186,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_6675_1022,"311, 321",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_9099_7912,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_8263_5551,"311, 321",,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8785_2407,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNJ_1935_1024,211,,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9321_6846,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8554_7044,"211, 231, 511",,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9627_2462,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2805_6663,211,,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9663_4016,val,resolved (swap),S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8186_1310,"211, 231",,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_6292_9755,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_217_7962,211,,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_8839_8939,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4380_2954,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_2106_3495,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4051_4527,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_2440_1296,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_1501_8913,"211, 112, 242",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_2941_3633,val,resolved (swap),S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9334_5962,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4741_2747,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TET_5889_9027,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5566_3199,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_6898_267,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_6884_5333,val,resolved (swap),S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_568_3199,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_9652_4520,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_2844_9605,"211, 242",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_8280_1052,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8855_6659,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_8955_631,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_9408_1200,"211, 242",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_10071_5065,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8985_7645,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6494_9001,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_4549_7767,"211, 311",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6979_1297,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_3123_8523,"211, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7219_6021,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8596_3164,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8392_9822,val,resolved (swap),S2B_MSIL2A_20181010T090019_N0500_R007_T35TPJ_256_3735,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2873_1759,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_8401_6649,"211, 231, 112",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8764_2528,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_8387_996,"311, 231",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_9288_9572,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_10376_8346,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1263_9167,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_1722_9545,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1428_4585,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2962_2150,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1540_7015,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4367_2370,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1691_5823,val,resolved (swap),S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8829_4390,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1958_8660,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1405_5463,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_2919_7085,val,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_330_2366,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3635_9166,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7786_6237,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5149_4574,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5235_10075,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5353_9180,val,resolved (swap),S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_9245_1697,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_6525_7829,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_8425_7019,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7602_7062,val,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_9940_6726,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7629_9209,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_6345_9678,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7731_5852,val,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_6312_9529,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_7875_8286,val,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2250_9498,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8049_7845,val,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_10326_4781,211,,
